,four,one,three,two
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d3735424-Reviews-I_Louvre_Paris-Paris_Ile_de_France.html,I Louvre Paris,Visites de la ville,142
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d1488792-Reviews-City_Free_Tour-Paris_Ile_de_France.html,City Free Tour,Visites de la ville,1035
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d1837944-Reviews-4_Roues_Sous_1_Parapluie-Paris_Ile_de_France.html,4 Roues Sous 1 Parapluie,Visites nocturnes,676
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d8506547-Reviews-Transferparis_Telma_France_Tour-Paris_Ile_de_France.html,Transferparis - Telma France Tour,Taxis et navettes,159
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d2365092-Reviews-Driver_Guide_France-Paris_Ile_de_France.html,Driver-Guide-France,"Visites culturelles, Visites guidées",137
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d3199521-Reviews-Les_Necro_Romantiques_et_Thierry_Le_Roi-Paris_Ile_de_France.html,Les Necro-Romantiques et Thierry Le Roi,Visites guidées,261
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d3666966-Reviews-Green_River_Cruises-Paris_Ile_de_France.html,Green River Cruises,Croisières,238
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d7044248-Reviews-Street_Art_Tour_Paris_with_Kasia-Paris_Ile_de_France.html,Street Art Tour Paris avec Kasia,Visites pédestres,111
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d11621772-Reviews-Paris_a_Dream_Circuits-Paris_Ile_de_France.html,Paris a Dream Circuits,Circuits gourmands,85
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d10720285-Reviews-Tuktuk_in_Paris-Paris_Ile_de_France.html,Tuktuk in Paris,"Visites de la ville, Visites privées",106
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d9710243-Reviews-Ever_Photo_Shoot-Paris_Ile_de_France.html,Ever Photo Shoot,Circuits photographiques,409
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d2479112-Reviews-Culturefish_Tours-Paris_Ile_de_France.html,Culturefish! Tours,"Visites de la ville, Visites privées",493
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d1464432-Reviews-Context_Paris_Tours-Paris_Ile_de_France.html,Context Paris Tours,Visites de la ville,398
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d9465625-Reviews-Original_Food_Tours-Paris_Ile_de_France.html,Original Food Tours,"Visites privées, Visites guidées",241
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d11760196-Reviews-Parigi_It-Paris_Ile_de_France.html,Parigi.It,"Visites guidées, Visites de la ville",127
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d1557378-Reviews-SANDEMANs_NEW_Europe_Paris-Paris_Ile_de_France.html,SANDEMANs NEW Europe - Paris,Visites de la ville,9683
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d5121240-Reviews-Patisserie_a_la_Carte-Paris_Ile_de_France.html,Pâtisserie à la Carte,"Cours de cuisine, Circuits gourmands",223
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d664422-Reviews-Paris_Authentic-Paris_Ile_de_France.html,Paris Authentic,Visites de la ville,601
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d4815567-Reviews-Set_In_Paris_Movie_Tours-Paris_Ile_de_France.html,Set In Paris Movie Tours,"Circuits shopping, Visites pédestres",310
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d3630392-Reviews-Hidden_Paris_Walking_Tours-Paris_Ile_de_France.html,Hidden Paris Walking Tours,Visites pédestres,279
Circuits,https://www.tripadvisor.fr/Attraction_Review-g187147-d6939381-Reviews-Paris_by_Tuktuk-Paris_Ile_de_France.html,Paris by Tuktuk,Visites de la ville,216
